ich,я;
du,ты;
er,он;
sie (Einzahl),она;
es,оно;
wir,мы;
ihr,вы;
sie (Mehrzahl),они;
was,что;
wer,кто;
wo,где;
warum,зачем;
wie,как;
welches,какой;
wann,когда;
dann,тогда;
wenn,если;
wirklich,на самом деле;
aber,но;
weil,потому что;
nicht,не;
dieses,это;
Ich brauche das,Мне нужно это;
Wie viel kostet das?,Сколько это стоит?;
das,что;
alle (bzw. alles),все;
oder,или;
und,и;
wissen,знать;
Ich weiß,Я знаю;
Ich weiß nicht,Я не знаю;
denken,думать;
kommen,приходить;
legen,класть;
nehmen,брать;
finden,находить;
zuhören,слушать;
arbeiten,работать;
sprechen,говорить;
geben,давать;
mögen,нравиться;
helfen,помогать;
lieben,любить;
telefonieren,звонить;
warten,ждать;
Ich mag dich,Ты мне нравишься;
Ich mag das nicht,Мне это не нравится;
Liebst du mich?,Ты любишь меня?;
Ich liebe dich,Я люблю тебя;
0,ноль;
1,один;
2,два;
3,три;
4,четыре;
5,пять;
6,шесть;
7,семь;
8,восемь;
9,девять;
10,десять;
11,одиннадцать;
12,двенадцать;
13,тринадцать;
14,четырнадцать;
15,пятнадцать;
16,шестнадцать;
17,семнадцать;
18,восемнадцать;
19,девятнадцать;
20,двадцать;
neu,новый;
alt (nicht neu),старый;
wenige,немногие;
viele,многие;
wie viel?,сколько?;
wie viele?,сколько?;
falsch,неправильный;
richtig,правильный;
schlecht,плохой;
gut,хороший;
glücklich,счастливый;
kurz,короткий;
lang,длинный;
klein (allgemein),маленький;
groß (allgemein),большой;
dort,там;
hier,здесь;
rechts,правый;
links,левый;
schön,красивый;
jung,молодой;
alt,старый;
Hallo (neutrale Begrüßung),здравствуйте;
Bis später,увидимся позже;
ok,окей;
Pass auf,береги себя;
Mach dir keine Sorgen,не переживай;
natürlich,конечно;
Guten Tag,добрый день;
Hallo,привет
